placeQ,placeLabel,location
Q103138744,Alatri (Samian Ware Discovery Site),Point(13.35 41.73)
Q103138752,Alba Fucens (Samian Ware Discovery Site),Point(13.36 42.11)
Q103141309,Anagni (Samian Ware Discovery Site),Point(13.17 41.73)
Q91388527,Castello Farnese,Point(13.98595 42.231847222)
Q90918443,Castello Tabassi,Point(13.95270646 42.19138234)
Q124812289,Castle,Point(13.668833333 41.93475)
Q103159596,Chieti (Samian Ware Discovery Site),Point(14.17 42.35)
Q103159831,Collarmele (Samian Ware Discovery Site),Point(13.63 42.06)
Q103160015,Corfinium (Samian Ware Discovery Site),Point(13.85 42.05)
Q108196646,Corso Umberto I,Point(14.20796 42.47127)
Q108196513,Corso Vittorio Emanuele II,Point(14.20791 42.46855)
Q103161894,Ferentino (Samian Ware Discovery Site),Point(13.25 41.68)
Q95595663,Forum of Alba Fucens,Point(13.411333333 42.079833333)
Q106963351,Grotta Mora Cavorso,Point(13.1758 41.8772)
Q103168913,L'Aquila (Samian Ware Discovery Site),Point(13.4 42.37)
Q103189327,Pescina (Samian Ware Discovery Site),Point(13.67 42.03)
Q1481888,Ponte di San Francesco,Point(13.089239 41.92423686)
Q103190264,Popoli (Samian Ware Discovery Site),Point(13.83 42.17)
Q87146870,Porta Saracena,Point(13.016936 41.6979901)
Q103192431,S.Potito di Ovindoli (Samian Ware Discovery Site),Point(13.52 42.12)
Q103193903,Salinello River (Samian Ware Discovery Site),Point(14.16 42.51)
Q60792839,"San Giacomo, Anagni",Point(13.15 41.746944444)
Q28229450,"San Silvestro Papa, Sora",Point(13.610771 41.720622)
Q85799620,"Santa Chiara, Antrodoco",Point(13.078361111 42.417083333)
Q103197095,Subiaco (Samian Ware Discovery Site),Point(13.09409 41.925422)
Q2334588,Subiaco Dams,Point(13.1252 41.9107)
Q19716908,Sublaqueum,Point(13.094788 41.926019)
Q31075128,Sulmo,Point(13.926198055 42.048025)
Q103197135,Sulmona (Samian Ware Discovery Site),Point(13.93 42.05)
Q124812318,Tower,Point(13.734638888 42.147027777)
Q123137475,piazza Duomo,Point(13.9786 42.5802)
Q123138184,piazza Duomo,Point(13.5193 42.3791)
Q123138186,piazza del Duomo,Point(13.9272 42.4561)
Q123138187,piazza del Duomo,Point(13.986 42.2334)
Q123138188,piazza del Duomo,Point(13.9206 42.0537)
Q123138183,piazza del Duomo,Point(13.2809 42.4511)
Q3604769,Acropoli di Alatri,Point(13.344505 41.724717)
Q3868399,Aia dei Musei (Avezzano),Point(13.439805555 42.021722222)
Q944515,Alba Fucens,Point(13.411468116 42.079059725)
Q11904890,Aletrium,Point(13.342222 41.726389)
Q177061,Amiternum,Point(13.305769 42.400776)
Q105747143,Anagnia,Point(13.158962 41.742213)
Q28978069,Anfiteatro di Peltuinum,Point(13.623996 42.282894)
Q2379643,Anfiteatro romano di Amiternum,Point(13.306 42.400556)
Q28978015,Anfiteatro romano di Chieti,Point(14.162539 42.345025)
Q28978065,Anfiteatro romano di Marruvium,Point(13.628 42.007)
Q3618645,Antico porto di Atri,Point(14.0894 42.585)
Q3618727,Antinum,Point(13.473805555 41.889111111)
Q24849489,Antiquarium di Loreto Aprutino,Point(13.987469 42.43217)
Q72980901,Arco di Trevi,Point(13.2651998 41.8327568)
Q112705914,Area archeologica di Peltuinum,Point(13.624280996 42.284043159)
Q113460137,Area archeologica di Rio Tavana,Point(13.673425365 41.94080279)
Q2595395,Assergi,Point(13.50786 42.41545)
Q3627904,Aternum,Point(14.212194166 42.460052222)
Q3629524,Aufidena,Point(14.108223 41.784299)
Q4820323,Aufinum,Point(13.771897 42.281731)
Q2873418,Aveia,Point(13.48972222 42.3)
Q123194897,Basilica di Santa Maria Salome,Point(13.41584 41.6911)
Q57416654,Biblioteca Comunale Teodoro Rosica,Point(14.22193 42.190803)
Q116925907,CLAP Museum,Point(14.2119 42.470311111)
Q30023657,Caporciano,Point(13.67455 42.25001)
Q118353008,Cappella del Calvario,Point(14.142458 41.709889)
Q120170141,Cappella del Camillianum,Point(14.181444 42.300553)
Q120170153,Cappella del Carmine,Point(14.213472 42.285494)
Q120170176,Cappella del Seminario Arcivescovile,Point(14.167631 42.351603)
Q120170178,Cappella di Palazzo Valignani,Point(14.166933 42.350128)
Q118353010,Cappella di San Sebastiano,Point(14.0679 41.715778)
Q120170210,Cappella di Sant'Antonio ai Colli,Point(14.176722 42.265833)
Q26819697,Carsioli,Point(13.043694444 42.079472222)
Q65029161,Casa Gigli,Point(13.39385 42.348299)
Q17462148,Casa Marini,Point(14.221852 42.189719)
Q30887824,Casa del Combattente,Point(13.401109 42.353571)
Q47510594,Casa della Giovane Italiana,Point(13.396548 42.344682)
Q55239516,Casa di Giovanni Sardi,Point(13.924876 42.048834)
Q16537601,Casa di Jacopo di Notar Nanni,Point(13.399472222 42.35175)
Q88981589,Casa museo Ignazio Silone,Point(13.65 42.024077777)
Q94634715,Casa museo di palazzo Sipari,Point(13.790388888 41.810361111)
Q68660741,Casa natale Leopoldo Muzii,Point(14.201677 42.473545)
Q55359901,Casa-Museo Ada e Giuseppe Marchetti Longhi,Point(13.290929 41.727936)
Q61905232,Cascina (L'Aquila),Point(13.18604 42.43505)
Q48809180,Casino Branconio,Point(13.395969 42.354368)
Q21196183,Castel Camponeschi,Point(13.618702 42.269788)
Q113583504,Castel Mattia,Point(13.079696 41.736359)
Q3662110,Castel Menardo,Point(14.08629 42.240372)
Q113357904,Castello,Point(14.134192 42.455327)
Q124749939,Castello,Point(13.508388888 42.355861111)
Q113356514,Castello,Point(13.862028 42.021477)
Q124749926,Castello,Point(13.517527777 42.121055555)
Q124749960,Castello,Point(13.699277777 42.126972222)
Q113584291,Castello,Point(13.022012 42.393968)
Q113290245,Castello,Point(14.139095 41.71189)
Q113290241,Castello,Point(14.06695 41.716982)
Q113585046,Castello,Point(13.017029 41.994353)
Q113356516,Castello,Point(14.112752 41.790298)
Q113290237,Castello,Point(14.180393 41.695976)
Q113583605,Castello,Point(13.273834 41.775869)
Q113585044,Castello,Point(13.052246 41.698539)
Q113583507,Castello,Point(13.145238 41.829346)
Q64485053,Castello Amorotti,Point(13.987358 42.433801)
Q55137001,Castello Baronale,Point(13.047633 42.13754)
Q113583604,Castello Caetani,Point(13.247055 41.862134)
Q23893814,Castello Cantelmo,Point(13.96114 41.971859)
Q3662317,Castello Cantelmo,Point(13.740281 41.692022)
Q23541400,Castello De Sanctis,Point(13.886416 42.125972)
Q83032138,Castello Dragonetti de Torres,Point(13.306544 42.436626)
Q91404440,Castello Ducale,Point(13.874854 42.241178)
Q23892248,Castello Gizzi,Point(13.926938888 42.243647222)
Q16538000,Castello Longhi,Point(13.290432 41.727496)
Q113584553,Castello Mareri,Point(13.047558 42.242927)
Q21196199,Castello Mediceo di Bussi sul Tirino,Point(13.829436111 42.211466666)
